Record,Record Type,Date,Modifier,Change Type,Changed Field,Old Value,New Value
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4312" target="_self" class="dottedlink">Custom Other Fields</a>,Field,5/23/2017 5:06 am,Carlos Banawan,Set,Help,&nbsp;,Custom record fields of List/Record Type that source all custom other fields
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4312" target="_self" class="dottedlink">Custom Other Fields</a>,Field,5/23/2017 5:06 am,Carlos Banawan,Set,Description,&nbsp;,Custom record fields of List/Record Type that source all custom other fields
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4318" target="_self" class="dottedlink">Custom Record Types</a>,Field,5/23/2017 5:06 am,Carlos Banawan,Set,Help,&nbsp;,Custom record fields of List/Record Type that source all custom record types
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4318" target="_self" class="dottedlink">Custom Record Types</a>,Field,5/23/2017 5:06 am,Carlos Banawan,Set,Description,&nbsp;,Custom record fields of List/Record Type that source all custom record types
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/14/2017 9:10 pm,Beverly Ucab,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/14/2017 9:10 pm,Beverly Ucab,Change,Revenue Arrangement,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/14/2017 9:10 pm,Beverly Ucab,Change,Help,This is the customer's phone number from the customer record. It is generated dynamically every time the form is accessed - so that changes in the customer record will be reflected the next time the transaction is viewed/edited/printed. Note: This is an example of a transaction body field, sourced ...,This is the customer's phone number from the customer record. It is generated dynamically every time the form is accessed - so that changes in the customer record will be reflected the next time the transaction is viewed/edited/printed. Note: This is an example of a transaction body field, sourced...
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/14/2017 9:10 pm,Beverly Ucab,Set,Global Search,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/14/2017 9:10 pm,Beverly Ucab,Set,Owner,&nbsp;,Beverly Ucab
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/14/2017 9:10 pm,Beverly Ucab,Set,Description,&nbsp;,Testing
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/14/2017 9:13 pm,Beverly Ucab,Change,Description,Testing,Testing Change
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/14/2017 9:13 pm,Beverly Ucab,Change,Purchase,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/14/2017 9:13 pm,Beverly Ucab,Change,Opportunity,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/16/2017 10:13 am,Beverly Ucab,Change,Print on Standard Forms,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/16/2017 10:13 am,Beverly Ucab,Change,Inventory Adjustment,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/16/2017 10:13 am,Beverly Ucab,Change,Item Fulfillment,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/16/2017 10:13 am,Beverly Ucab,Change,Print on Picking Ticket,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/16/2017 10:15 am,Beverly Ucab,Change,Sale,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/16/2017 10:15 am,Beverly Ucab,Change,Purchase,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/16/2017 10:15 am,Beverly Ucab,Change,Item Fulfillment,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/16/2017 10:15 am,Beverly Ucab,Change,Opportunity,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=1" target="_self" class="dottedlink">Customer Phone</a>,Field,6/16/2017 10:15 am,Beverly Ucab,Change,Inventory Adjustment,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4212" target="_self" class="dottedlink">Customization IDs</a>,Field,5/23/2017 5:23 am,Carlos Banawan,Set,Help,&nbsp;,The Spider customization Ids of the FLO Spider Files
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4212" target="_self" class="dottedlink">Customization IDs</a>,Field,5/23/2017 5:23 am,Carlos Banawan,Set,Description,&nbsp;,The Spider customization Ids of the FLO Spider Files
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3805" target="_self" class="dottedlink">Data Input Fields</a>,Field,5/23/2017 5:28 am,Carlos Banawan,Set,Description,&nbsp;,The FLO Customization data input fields of the Test Record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3805" target="_self" class="dottedlink">Data Input Fields</a>,Field,5/23/2017 5:28 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3805" target="_self" class="dottedlink">Data Input Fields</a>,Field,5/23/2017 5:28 am,Carlos Banawan,Set,Help,&nbsp;,The FLO Customization data input fields of the Test Record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3806" target="_self" class="dottedlink">Data Input Form</a>,Field,5/23/2017 5:28 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3806" target="_self" class="dottedlink">Data Input Form</a>,Field,5/23/2017 5:28 am,Carlos Banawan,Set,Help,&nbsp;,The FLO Customization data input form of the Test Record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3806" target="_self" class="dottedlink">Data Input Form</a>,Field,5/23/2017 5:28 am,Carlos Banawan,Set,Description,&nbsp;,The FLO Customization data input form of the Test Record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4118" target="_self" class="dottedlink">Data Process</a>,Field,5/23/2017 2:35 am,Dev, Two,Set,Description,&nbsp;,This is checked when data value is processed
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4118" target="_self" class="dottedlink">Data Process</a>,Field,5/23/2017 2:35 am,Dev, Two,Set,Help,&nbsp;,This is checked when data value is processed
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3807" target="_self" class="dottedlink">Data set</a>,Field,5/23/2017 5:28 am,Carlos Banawan,Set,Help,&nbsp;,The data set of the FLO Test Record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3807" target="_self" class="dottedlink">Data set</a>,Field,5/23/2017 5:28 am,Carlos Banawan,Set,Description,&nbsp;,The data set of the FLO Test Record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3807" target="_self" class="dottedlink">Data set</a>,Field,5/23/2017 5:28 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4399" target="_self" class="dottedlink">Date</a>,Field,6/2/2017 6:46 am,Agustin Aste,Create,Record,&nbsp;,CUSTRECORD_DATE
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=194" target="_self" class="dottedlink">Demo Item</a>,Field,6/19/2017 8:50 am,Agustin Aste,Change,Non-inventory Item,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=194" target="_self" class="dottedlink">Demo Item</a>,Field,6/19/2017 8:50 am,Agustin Aste,Change,Global Search,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=194" target="_self" class="dottedlink">Demo Item</a>,Field,6/19/2017 8:50 am,Agustin Aste,Unset,Default Checked,F,&nbsp;
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=194" target="_self" class="dottedlink">Demo Item</a>,Field,6/19/2017 8:50 am,Agustin Aste,Change,Check Spelling,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=194" target="_self" class="dottedlink">Demo Item</a>,Field,6/19/2017 8:50 am,Agustin Aste,Change,Type,Check Box,Currency
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=194" target="_self" class="dottedlink">Demo Item</a>,Field,6/19/2017 8:50 am,Agustin Aste,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4394" target="_self" class="dottedlink">Department last index</a>,Field,6/1/2017 4:54 am,Dev One,Create,Record,&nbsp;,CUSTSCRIPT_FLO_DEPARTMENT_LI
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3762" target="_self" class="dottedlink">DEPARTMENT RESTRICTIONS</a>,Field,5/23/2017 3:15 am,Carlos Banawan,Set,Description,&nbsp;,This is the department restrictions of the Roles customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3762" target="_self" class="dottedlink">DEPARTMENT RESTRICTIONS</a>,Field,5/23/2017 3:15 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3762" target="_self" class="dottedlink">DEPARTMENT RESTRICTIONS</a>,Field,5/23/2017 3:15 am,Carlos Banawan,Set,Help,&nbsp;,This is the department restrictions of the Roles customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3779" target="_self" class="dottedlink">Deployments</a>,Field,5/23/2017 3:15 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3779" target="_self" class="dottedlink">Deployments</a>,Field,5/23/2017 3:15 am,Carlos Banawan,Set,Help,&nbsp;,This is the list of deployments of the Deployment customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3779" target="_self" class="dottedlink">Deployments</a>,Field,5/23/2017 3:15 am,Carlos Banawan,Set,Description,&nbsp;,This is the list of deployments of the Deployment customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3793" target="_self" class="dottedlink">Deployments (deprecated)</a>,Field,5/23/2017 3:16 am,Carlos Banawan,Set,Help,&nbsp;,store the list of deployments used by an script
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3793" target="_self" class="dottedlink">Deployments (deprecated)</a>,Field,5/23/2017 3:16 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4474" target="_self" class="dottedlink">Diff</a>,Field,6/30/2017 8:14 am,Beverly Ucab,Create,Record,&nbsp;,CUSTWFSTATE_FLO_WFLW_DIFF_2
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4477" target="_self" class="dottedlink">Diff</a>,Field,6/30/2017 8:14 am,Beverly Ucab,Create,Record,&nbsp;,CUSTWORKFLOW_FLO_CHECK_DIFF_2
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4474" target="_self" class="dottedlink">Diff</a>,Field,6/30/2017 8:14 am,Beverly Ucab,Change,Label,Diff (2),Diff
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4477" target="_self" class="dottedlink">Diff</a>,Field,6/30/2017 8:14 am,Beverly Ucab,Change,Label,Diff (2),Diff
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4234" target="_self" class="dottedlink">Diff View</a>,Field,5/23/2017 2:36 am,Dev, Two,Set,Description,&nbsp;,This is the FLO Diff view details
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4234" target="_self" class="dottedlink">Diff View</a>,Field,5/23/2017 2:36 am,Dev, Two,Set,Help,&nbsp;,This is the FLO Diff view details
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4234" target="_self" class="dottedlink">Diff View</a>,Field,5/23/2017 9:05 am,Beverly Ucab,Change,Store Value,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4234" target="_self" class="dottedlink">Diff View</a>,Field,5/23/2017 9:10 am,Beverly Ucab,Change,Store Value,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4234" target="_self" class="dottedlink">Diff View</a>,Field,5/23/2017 9:11 am,Beverly Ucab,Change,Store Value,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4234" target="_self" class="dottedlink">Diff View</a>,Field,5/23/2017 9:30 am,Beverly Ucab,Change,Store Value,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4234" target="_self" class="dottedlink">Diff View</a>,Field,5/23/2017 9:36 am,Beverly Ucab,Change,Store Value,F,T
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4234" target="_self" class="dottedlink">Diff View</a>,Field,5/23/2017 9:37 am,Beverly Ucab,Change,Store Value,T,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4208" target="_self" class="dottedlink">Disable Spider Last Use Report</a>,Field,5/23/2017 3:05 am,Dev, Two,Set,Help,&nbsp;,This disables the last auto spider report when checked
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4208" target="_self" class="dottedlink">Disable Spider Last Use Report</a>,Field,5/23/2017 3:05 am,Dev, Two,Set,Description,&nbsp;,This disables the last auto spider report when checked
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3759" target="_self" class="dottedlink">DO NOT RESTRICT EMPLOYEE FIELDS</a>,Field,5/23/2017 3:16 am,Carlos Banawan,Set,Description,&nbsp;,Do not restrict Employee when checked in the Roles customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3759" target="_self" class="dottedlink">DO NOT RESTRICT EMPLOYEE FIELDS</a>,Field,5/23/2017 3:16 am,Carlos Banawan,Set,Help,&nbsp;,Do not restrict Employee when checked in the Roles customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3759" target="_self" class="dottedlink">DO NOT RESTRICT EMPLOYEE FIELDS</a>,Field,5/23/2017 3:16 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3748" target="_self" class="dottedlink">Edition</a>,Field,5/23/2017 5:11 am,Carlos Banawan,Set,Help,&nbsp;,The license edition of the License Manager
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3748" target="_self" class="dottedlink">Edition</a>,Field,5/23/2017 5:11 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3748" target="_self" class="dottedlink">Edition</a>,Field,5/23/2017 5:11 am,Carlos Banawan,Set,Description,&nbsp;,The license edition of the License Manager
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4396" target="_self" class="dottedlink">Email template spider last index</a>,Field,6/1/2017 5:01 am,Dev One,Create,Record,&nbsp;,CUSTSCRIPT_FLO_TEMPLATE_LI
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4367" target="_self" class="dottedlink">Employee</a>,Field,5/10/2017 2:19 am,Beverly Ucab,Create,Record,&nbsp;,CUSTRECORD_FLO_CR_EMPLOYEES
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4367" target="_self" class="dottedlink">Employee</a>,Field,5/23/2017 2:41 am,Carlos Banawan,Set,Help,&nbsp;,This is the employees of the change request's Control customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4367" target="_self" class="dottedlink">Employee</a>,Field,5/23/2017 2:41 am,Carlos Banawan,Set,Description,&nbsp;,This is the employees of the change request's Control customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3771" target="_self" class="dottedlink">EMPLOYEE RESTRICTION</a>,Field,5/23/2017 3:17 am,Carlos Banawan,Set,Description,&nbsp;,This the employee restrictions of the Roles customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3771" target="_self" class="dottedlink">EMPLOYEE RESTRICTION</a>,Field,5/23/2017 3:17 am,Carlos Banawan,Set,Help,&nbsp;,This the employee restrictions of the Roles customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4379" target="_self" class="dottedlink">Ent Field FLO</a>,Field,5/16/2017 6:06 am,John Albura,Create,Record,&nbsp;,CUSTENTITYT
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4411" target="_self" class="dottedlink">Ent Field Test</a>,Field,6/9/2017 2:04 pm,Nicolas Cano,Create,Record,&nbsp;,CUSTENTITY37
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4369" target="_self" class="dottedlink">Entity</a>,Field,5/10/2017 2:20 am,Beverly Ucab,Create,Record,&nbsp;,CUSTRECORD_FLO_CR_ENTITY
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4369" target="_self" class="dottedlink">Entity</a>,Field,5/23/2017 2:41 am,Carlos Banawan,Set,Description,&nbsp;,This is the Entity of the change request's Control customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4369" target="_self" class="dottedlink">Entity</a>,Field,5/23/2017 2:41 am,Carlos Banawan,Set,Help,&nbsp;,This is the Enity of the change request's Control customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4400" target="_self" class="dottedlink">Error Details</a>,Field,6/2/2017 6:47 am,Agustin Aste,Create,Record,&nbsp;,CUSTRECORD_ERROR_DETAILS
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3754" target="_self" class="dottedlink">Event Type</a>,Field,5/23/2017 3:17 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3754" target="_self" class="dottedlink">Event Type</a>,Field,5/23/2017 3:17 am,Carlos Banawan,Set,Help,&nbsp;,The Event Type for the Deployment customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3754" target="_self" class="dottedlink">Event Type</a>,Field,5/23/2017 3:17 am,Carlos Banawan,Set,Description,&nbsp;,The Event Type for the Deployment customization
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3766" target="_self" class="dottedlink">Execute as Admin</a>,Field,5/23/2017 3:18 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3766" target="_self" class="dottedlink">Execute as Admin</a>,Field,5/23/2017 3:18 am,Carlos Banawan,Set,Help,&nbsp;,This executes deployment as Admin when checked
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3766" target="_self" class="dottedlink">Execute as Admin</a>,Field,5/23/2017 3:18 am,Carlos Banawan,Set,Description,&nbsp;,This executes deployment as Admin when checked
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3808" target="_self" class="dottedlink">Expected Outcome</a>,Field,5/23/2017 5:29 am,Carlos Banawan,Set,Show Hierarchy,&nbsp;,F
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3808" target="_self" class="dottedlink">Expected Outcome</a>,Field,5/23/2017 5:29 am,Carlos Banawan,Set,Description,&nbsp;,The expected outcome of the FLO Test Record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3808" target="_self" class="dottedlink">Expected Outcome</a>,Field,5/23/2017 5:29 am,Carlos Banawan,Set,Help,&nbsp;,The expected outcome of the FLO Test Record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4446" target="_self" class="dottedlink">External Audit Comments</a>,Field,6/19/2017 8:01 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_CHNG_LOG_EXTRNL_AUDIT_COM
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4455" target="_self" class="dottedlink">External Audit Comments</a>,Field,6/19/2017 8:12 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_PROC_ISS_EXTRNL_AUDIT_COM
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4464" target="_self" class="dottedlink">External Audit Comments</a>,Field,6/19/2017 8:21 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_CHNG_REQ_EXTRNL_AUDIT_COM
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4446" target="_self" class="dottedlink">External Audit Comments</a>,Field,6/19/2017 8:43 am,Dev One,Unset,Description,To be applied: restricted to FLO Auditor Role,&nbsp;
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4455" target="_self" class="dottedlink">External Audit Comments</a>,Field,6/19/2017 8:45 am,Dev One,Unset,Description,To be applied: restricted to FLO Auditor Role,&nbsp;
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4464" target="_self" class="dottedlink">External Audit Comments</a>,Field,6/19/2017 8:46 am,Dev One,Unset,Description,To be applied: restricted to FLO Auditor Role,&nbsp;
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4464" target="_self" class="dottedlink">External Audit Comments</a>,Field,6/19/2017 10:02 am,Dev One,Change,Type,Rich Text,List/Record
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4464" target="_self" class="dottedlink">External Audit Comments</a>,Field,6/19/2017 10:02 am,Dev One,Set,List/Record,&nbsp;,Employee
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4464" target="_self" class="dottedlink">External Audit Comments</a>,Field,6/19/2017 10:02 am,Dev One,Change,Type,List/Record,Rich Text
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4464" target="_self" class="dottedlink">External Audit Comments</a>,Field,6/19/2017 10:02 am,Dev One,Unset,List/Record,Employee,&nbsp;
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4447" target="_self" class="dottedlink">External Audit Status</a>,Field,6/19/2017 8:02 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_CHNG_LOG_EXTRNL_AUDIT_STS
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4456" target="_self" class="dottedlink">External Audit Status</a>,Field,6/19/2017 8:13 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_PROC_ISS_EXTRNL_AUDIT_STS
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4465" target="_self" class="dottedlink">External Audit Status</a>,Field,6/19/2017 8:22 am,Dev One,Create,Record,&nbsp;,CUSTRECORD_FLO_CHNG_REQ_EXTRNL_AUDIT_STS
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4447" target="_self" class="dottedlink">External Audit Status</a>,Field,6/19/2017 8:43 am,Dev One,Unset,Description,To be applied: restricted to FLO Auditor Role,&nbsp;
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4456" target="_self" class="dottedlink">External Audit Status</a>,Field,6/19/2017 8:45 am,Dev One,Unset,Description,To be applied: restricted to FLO Auditor Role,&nbsp;
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=4465" target="_self" class="dottedlink">External Audit Status</a>,Field,6/19/2017 8:47 am,Dev One,Unset,Description,To be applied: restricted to FLO Auditor Role,&nbsp;
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3515" target="_self" class="dottedlink">External System</a>,Field,6/13/2017 7:06 am,Beverly Ucab,Set,Parent Subtab,&nbsp;,Bundle
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3515" target="_self" class="dottedlink">External System</a>,Field,6/13/2017 7:11 am,Beverly Ucab,Unset,Parent Subtab,Bundle,&nbsp;
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3515" target="_self" class="dottedlink">External System</a>,Field,6/13/2017 7:17 am,Beverly Ucab,Set,Parent Subtab,&nbsp;,Bundle
<a href="https://system.na1.netsuite.com/app/common/custom/custrecordentry.nl?rectype=-124&amp;id=3515" target="_self" class="dottedlink">External System</a>,Field,6/13/2017 7:27 am,Beverly Ucab,Unset,Parent Subtab,Bundle,&nbsp;
